ThingID,Name,Lat,Long,ObsID
146,空品微型感測器-08BEAC0A0756-雲林縣縣立元長國小,23.6525047,120.3093506,1514
147,空品微型感測器-08BEAC0A0754-桃園市市立龜山國小,24.99328494,121.3400673,1517
148,空品微型感測器-74DA38F20C76-苗栗縣縣立六合國小,24.683,120.899,1520
149,空品微型感測器-74DA38F208BA-宜蘭縣縣立三星國小,24.666,121.65,1523
150,空品微型感測器-74DA38F20E6C-苗栗縣縣立武榮國小,24.382,120.867,1526
151,空品微型感測器-08BEAC0A030E-雲林縣縣立朝陽國小,23.55724632,120.284956,1529
153,空品微型感測器-08BEAC0A0566-臺南市市立安順國中,23.04842206,120.2176666,1535
155,空品微型感測器-74DA38F2112E-市立清江國小,25.126,121.507,1541
152,空品微型感測器-08BEAC0A0564-臺南市市立安南國中,23.04840646,120.1787816,1532
154,空品微型感測器-08BEAC0A0560-嘉義縣縣立過溝國中,23.43647771,120.1832672,1538
156,空品微型感測器-08BEAC0A0562-嘉義縣縣立隙頂國小,23.43056656,120.6601742,1544
157,空品微型感測器-08BEAC0A0184-嘉義縣縣立瑞里國小,23.53974951,120.6654186,1547
158,空品微型感測器-08BEAC0A0182-臺中市立四箴國中,24.17964578,120.57603,1550
160,空品微型感測器-08BEAC0A0742-臺南市市立永仁高中附設國中,23.0030898,120.2409516,1556
161,空品微型感測器-08BEAC0A021E-臺中市立僑仁國小,24.1079551,120.6404708,1559
159,空品微型感測器-08BEAC0A0744-桃園市市立中埔國小,25.02094499,121.2926566,1553
162,空品微型感測器-08BEAC0A018C-臺中市立文心國小,24.17301521,120.6828429,1562
163,空品微型感測器-08BEAC0A018A-臺中市立大南國小,24.1935294,120.8128735,1565
164,空品微型感測器-74DA38C7D530-新竹市立港南國小,24.814,120.922,1568
165,空品微型感測器-08BEAC0A01E0-臺中市立北屯國小,24.16344682,120.6916271,1571
166,空品微型感測器-08BEAC0A056C-臺南市市立仁德國小,22.9620581,120.2544456,1574
167,空品微型感測器-08BEAC0A036C-臺中市立三光國小,24.360000976,120.597503185,1577
168,空品微型感測器-08BEAC0A0366-桃園市市立興國國小,24.96333003,121.2212187,1580
169,空品微型感測器-08BEAC0A0364-臺中市立龍港國小,24.19858441,120.5011919,1583
170,空品微型感測器-08BEAC0A04AC-雲林縣縣立溝壩國小,23.67398769,120.537713,1586
171,空品微型感測器-08BEAC0A01A4-臺中市立東明國小,24.374538166,120.680150427,1589
172,空品微型感測器-08BEAC0A0740-雲林縣私立永年高中,23.67947,120.4005517,1592
173,空品微型感測器-08BEAC0A069E-桃園市市立華勛國小,24.95444833,121.2577049,1595
174,空品微型感測器-08BEAC0A022E-臺中市立海墘國小,24.379353495,120.588386022,1598
175,空品微型感測器-08BEAC0A0512-臺南市市立大港國小,23.0135245,120.1892436,1601
176,空品微型感測器-08BEAC0A0514-雲林縣縣立建陽國小,23.6338569,120.1519047,1604
177,空品微型感測器-08BEAC0A0730-臺南市市立後港國中,23.18813383,120.1344792,1607
178,空品微型感測器-08BEAC0A0220-桃園市市立義興國小,24.94971776,121.2099902,1610
179,空品微型感測器-08BEAC0A0736-臺南市市立山上國中,23.10327423,120.3581912,1613
180,空品微型感測器-08BEAC0A0738-臺南市市立成功國中,22.98548962,120.2168919,1616
181,空品微型感測器-08BEAC0A035E-嘉義縣縣立南興國小,23.34168438,120.192098,1619
